,CWR,EW,UCB,PSR,PSR-UCB,PW-UCB
1985-06-24,1.0009687499999995,1.0009687499999995,1.0054621746187777,1.0054621746187777,1.0054621746187777,1.0054621746187777
1985-06-25,1.0049350886718744,1.0049452133333336,1.008636077429505,1.008636077429505,1.008636077429505,1.008636077429505
1985-06-26,1.006947052463986,1.006965310377396,1.002187706914405,1.002187706914405,1.002187706914405,1.002187706914405
1985-06-27,1.013116700966687,1.013160807212969,1.0031661264363145,1.0083914938338479,1.0031661264363145,1.0031661264363145
1985-06-28,1.0162932439561763,1.0163246946141604,1.0026554976854263,1.0078782052814004,1.0026554976854263,1.0026554976854263
1985-07-01,1.019022414771717,1.0190763175438937,1.0037151132842357,1.0089433402858776,1.0037151132842357,1.0037151132842357
1985-07-02,1.0198588623371754,1.019930822076063,1.0086919725178138,1.0139461233592824,1.0086919725178138,1.0086919725178138
1985-07-03,1.0186860246454876,1.018784744112984,1.011593444097514,1.016862708343032,1.011593444097514,1.011593444097514
1985-07-05,1.0245944035884316,1.0246906488291447,1.0175886001316181,1.0228890923981568,1.0175886001316181,1.0175886001316181
1985-07-08,1.0218813629905963,1.0219004021486655,1.0189813473166733,1.017867977099304,1.0189813473166733,1.0189813473166733
1985-07-09,1.0178981545944392,1.017875915810767,1.011314016316726,1.0102090236599515,1.011314016316726,1.011314016316726
1985-07-10,1.0244593564492626,1.024426195234818,1.0101663637340397,1.0090626250376138,1.0101663637340397,1.0101663637340397
1985-07-11,1.030335057716564,1.0303314094708798,1.0010738647783102,0.9999800608246207,1.0010738647783102,1.0010738647783102
1985-07-12,1.0331577464684336,1.033176972646121,1.002679819824503,1.001584261155162,1.002679819824503,1.002679819824503
1985-07-15,1.0333127201304042,1.033360317965932,0.9995526568265617,0.9984605149912539,0.9995526568265617,0.9995526568265617
1985-07-16,1.0453271332367537,1.0453730152530358,1.006165952831955,1.005066585106958,1.006165952831955,1.006165952831955
